10191422	SUPOR/苏泊尔	556455.2	29
10149596	植益	551824.27	47
10253457	HYUNDAI/现代	532680	8
10868793	西域美农	529075.98	25
10828751	Adidas/阿迪达斯	516972.1	230
10929842	稻香社	514199	2
10075124	网易严选	511488	11
10697953	ANTA/安踏	508128	47
10552449	PECHOIN/百雀羚	506042.24	109
10081818	蒙牛	505698.88	23
10429338	vivo	504423.8	26
10119227	FRESTECH/新飞	503732.3	11
10820993	开小差	503025.29	44
10245146	Joyoung soymilk/九阳豆浆（饮料）	501876.4	11
10291494	扬子	501417.2	32
10858127	梦洁	493122	1
10007061	CHIOTURE 稚优泉	487834.4	26
10512992	SU:M37°/苏秘37°	479362.52	51
10909349	习酒	477080	9
10337768	俞兆林	476860.34	7
10085053	PRAMY/柏瑞美	459770.9	22
10894336	海福盛	459013.4	1
10335357	Galanz/格兰仕	457424	2
10721838	Deli/得力	448968.25	123
10009403	比芭美	448089.51	49
7830374550	blispring/冰泉	443646	3
10703846	清风	441051	3
10684708	Clinique/倩碧	433988.66	18
10195766	kafellon/凯芙兰	432699.3	27
10125914	Winona/薇诺娜	430813.1	27
10937509	Elizabeth Arden/伊丽莎白雅顿	427436.25	25
10875115	Colour Diary/色彩日记	424633.48	66
10653429	boylondon	424362	30
10207905	C＆U/人本	423999.97	23
10414044	HOTATA/好太太	422148.5	15
10205732	植护	405667.55	43
10925878	C＇CHOICE/采琪采	401367.03	20
10938555	斜月三星	398313.5	32
10225630	白象	394029.37	41
10555453	O’admire/澳赞	393765.2	14
10698680	Doppel Herz/双心	393705	8
10912065	Littleswan/小天鹅	393354	1
10923980	DDMOMMY/袋鼠妈妈	389334.62	2
10431904	ROYAL CANIN/皇家	389097.5	20
10937493	芝华士（Chivas Regal）	388050	3
10483008	洁柔	386626.2	12
10570204	HANKEY/韩纪	384618.12	34
10938754	IRONBULL/铁牛	381750.8	13
10700343	Deerma/德尔玛	374083.7	15
10480549	SK-II	368079.29	67
10108032	Avene/雅漾	356776.8	8
10707440	双汇	356389.82	16
10873234	pp/盼盼	355695.41	16
10767563	Ronshen/容声	354976	12
99714512	玛可安迪	354249.52	116
10118985	BIG WASP/大黄蜂	353669.65	65
10334775	Meters Bonwe/美特斯邦威	352837	5
10634174	wis	350950.13	8
10939633	多驰	348651	1
10844093	COACH/蔻驰	338057	37
10781375	吉香居	335797.4	13
10119922	敖东	334301.24	10
10286573	DARLIE/黑人	325548.11	17
10328646	卜珂零点	325448.07	10
11012160	CATFOUR	323930.6	5
10060188	小奥汀	323064.7	33
10515850	十月稻田	322801.5	12
10699712	全兴	317021.1	4
10089743	信良记	315297	3
10350815	睿嫣润膏	313603.12	13
10828392	Givenchy/纪梵希	309895.91	54
10053829	Fondberyl/菲伯丽尔	309831	2
10217780	DUOLUPLO/多伦保罗	297193.2	2
10828395	HR/赫莲娜	295207.63	15
10993535	Me Smooth	294079	3
10943629	虎邦	293647.5	7
10854173	盐津铺子	291416.2	19
10936682	Camel/骆驼（鞋服包）	288636.97	16
10412074	Budweiser/百威	283304	3
10724180	DELIS/煌上煌	281314.6	17
10880072	守护宝	279720	1
10049542	BONAS/宝娜斯	273982.6	12
10441795	棉森	273530.6	3
10264001	Difaso/蒂花之秀	264082.59	3
10485282	SNP	262663.6	15
10832037	A.H.C/爱和纯	253323.97	16
10119229	Chigo/志高	252838.96	12
