brand_id_std	brand_name_std	secondary_mkt_industry1	 brand_sale_amount
10840390	CENTRUM/善存	食品饮料	 42,151,144
10507599	MIGHTY/多力	食品饮料	 47,712,767
10937420	RIO/锐澳	食品饮料	 31,827,051
10125692	奥利奥	食品饮料	 38,551,318
10372201	王小二	食品饮料	 43,182,256
10055645	Milkland/妙可蓝多	食品饮料	 49,680,866
10174182	Samyang/三养	食品饮料	 34,194,194
10134086	颜如玉	食品饮料	 33,972,077
11009950	Mega Max Nutrition Life/兆丽健营养生活	食品饮料	 48,613,115
10925063	徐福记	食品饮料	 44,863,953
10175782	其妙	食品饮料	 42,300,062
10708712	费列罗/FERRERO ROCHER	食品饮料	 58,163,149
11027109	wonderlab	食品饮料	 41,422,859
10677690	轩妈	食品饮料	 56,836,591
10009728	Perrier/巴黎水	食品饮料	 30,185,294
10293677	CONBA/康恩贝	食品饮料	 37,353,438
10846400	古井贡	食品饮料	 61,715,055
10608371	Ganten/百岁山	食品饮料	 30,835,411
10509919	郎	食品饮料	 53,562,927
10230613	甘福园	食品饮料	 41,117,708
10121086	Greatwall/长城（酒）	食品饮料	 50,182,883
10336661	BLACKMORES/澳佳宝	食品饮料	 39,161,995
10283916	Orijen	食品饮料	 37,198,591
10410842	怡宝	食品饮料	 32,899,288
10216753	ZESPRI/佳沛	食品饮料	 42,994,827
10264287	CALTRATE/钙尔奇	食品饮料	 34,401,278
10199076	疯狂的小狗	食品饮料	 34,464,081
10937523	阳澄联合	其他行业	 46,009,622
10113517	诺特兰德	食品饮料	 32,951,110
10507781	正大	食品饮料	 29,934,734
10939331	SHARKFIT/鲨鱼菲特	食品饮料	 36,148,832
10014578	容茗轩	食品饮料	 35,264,144
10913471	LEE KUM KEE/李锦记	食品饮料	 32,211,151
10196119	张裕	食品饮料	 44,157,287
10700610	Lafite/拉菲	食品饮料	 43,714,070
12658735	SNOBEL	食品饮料	 64,538,596
10921451	健乐多	食品饮料	 39,506,707
10221607	XIAO GUAN TEA/小罐茶	食品饮料	 50,739,758
10240946	欧德堡	食品饮料	 31,458,848
10773248	PRO PLAN/冠能	食品饮料	 30,591,646
10721815	Olivoila/欧丽薇兰	食品饮料	 42,305,413
10671415	Petcurean Go!	食品饮料	 30,499,727
10076169	TASOGARE/隅田川	食品饮料	 27,004,936
10225837	Engnice/英氏	食品饮料	 28,296,535
10734623	elevit/爱乐维	医药保健	 10,234,610
10507738	大益	食品饮料	 25,404,040
10684934	养生堂	食品饮料	 29,185,199
89374688	齐汇	食品饮料	 32,694,543
